Title,Ratings,Links
Terminator 2: Judgment Day,8.6,www.imdb.com/title/tt0103064/
Die Hard,8.2,www.imdb.com/title/tt0095016/
Aliens,8.4,www.imdb.com/title/tt0090605/
Mad Max: Fury Road,8.1,www.imdb.com/title/tt1392190/
Raiders of the Lost Ark,8.4,www.imdb.com/title/tt0082971/
Mission: Impossible - Fallout,7.7,www.imdb.com/title/tt4912910/
Lat sau san taam,7.7,www.imdb.com/title/tt0104684/
Dirty Harry,7.7,www.imdb.com/title/tt0066999/
Serbuan maut 2: Berandal,7.9,www.imdb.com/title/tt2265171/
The Last Boy Scout,7,www.imdb.com/title/tt0102266/
Dip huet gai tau,7.5,www.imdb.com/title/tt0099426/
Inception,8.8,www.imdb.com/title/tt1375666/
The Matrix,8.7,www.imdb.com/title/tt0133093/
The Dark Knight,9,www.imdb.com/title/tt0468569/
Top Gun: Maverick,8.3,www.imdb.com/title/tt1745960/
Tenet,7.3,www.imdb.com/title/tt6723592/
The Empire Strikes Back,8.7,www.imdb.com/title/tt0080684/
The Rock,7.4,www.imdb.com/title/tt0117500/
Ying hung boon sik II,7.2,www.imdb.com/title/tt0094357/
Speed,7.3,www.imdb.com/title/tt0111257/
Die Hard with a Vengeance,7.6,www.imdb.com/title/tt0112864/
Gladiator,8.5,www.imdb.com/title/tt0172495/
Jui kuen II,7.5,www.imdb.com/title/tt0111512/
Serbuan maut,7.6,www.imdb.com/title/tt1899353/
The Untouchables,7.8,www.imdb.com/title/tt0094226/
Tropa de Elite 2: O Inimigo Agora é Outro,8,www.imdb.com/title/tt1555149/
Predator,7.8,www.imdb.com/title/tt0093773/
The Hitcher,7.2,www.imdb.com/title/tt0091209/
Dog Soldiers,6.8,www.imdb.com/title/tt0280609/
Dip huet seung hung,7.8,www.imdb.com/title/tt0097202/
Lethal Weapon,7.6,www.imdb.com/title/tt0093409/
Nobody,7.4,www.imdb.com/title/tt7888964/
Scott Pilgrim vs. the World,7.5,www.imdb.com/title/tt0446029/
Tropa de Elite,8,www.imdb.com/title/tt0861739/
Spider-Man 2,7.4,www.imdb.com/title/tt0316654/
Kingsman: The Secret Service,7.7,www.imdb.com/title/tt2802144/
The Bourne Ultimatum,8,www.imdb.com/title/tt0440963/
Mad Max 2,7.6,www.imdb.com/title/tt0082694/
